title,company,location,salary,description,experience,employment_type,schedule,working_hours,work_format,published_date,link,skills
Заместитель директора по продажам отдела Nestle,ТОО Алтын Алма,Вакансия опубликована 15 мая 2025 в Петропавловске,"до 650 000 ₸ за месяц, на руки","Крупной торговой компании требуется Заместитель директора по продажам подразделения Nestle

Обязанности:

Выполнение планов продаж;
Максимальный охват АКБ, дистрибуция новинок;
Устанавливать, поддерживать и улучшать партнерские взаимоотношения с клиентами, добиваться их лояльности к компании, брендам и представителям компании.
Требования:
Лидерство, нацеленность на результат, способность принимать самостоятельные решения на основе имеющихся данных и нести ответственность за результат;
Использование логики и интуицию для решения проблем;
Умение делать выводы из своего успеха и ошибок, и стремление улучшаться;
Развитые коммуникативные навыки, настойчивость и дисциплинированность;
Умение работать в команде;
Желание и способность к обучение и использованию приобретенных навыков.
Условия:

Конкурентоспособная заработная плата;

Система бонусов;

5-ти дневная рабочая неделя;

Официальное трудоустройство;

Перспектива карьерного роста;

Дружный коллектив.",1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,15 мая 2025,https://hh.kz/vacancy/120569889,"Традиционная розница,Мерчендайзинг,Современная розница,Аналитика продаж,Продажи через дистрибьюторов"
Бизнес - аналитик (фармацевтическая компания),ТОО ЮНИФАРМ КАЗАХСТАН,Вакансия опубликована 15 мая 2025 в Алматы,"до 800 000 ₸ за месяц, на руки","Обязанности:

Ежедневный анализ работы сотрудников Компании в рамках системы CRM, в разрезе запланированных и выполненных по факту работ;
Ежемесячный итоговый сбор, обработка и анализ результатов работы сотрудников Компании на основании данных системы CRM;
Ежемесячный сбор, обработка и анализ информации по продажам в разрезе по дистрибьюторам и клиентам, регионам, определенным периодам времени, брендам, группам, продуктам Компании;
Ежемесячный обширный анализ фармацевтического рынка, подготовка отчетов о продажах с помощью базы данных аудита, работа с базой данных , выгрузка данных в разрезах брендов; анализ тенденций, перспективности продуктов;
Ежеквартальное формирование планов совместно с отделом маркетинга;
Анализ деятельности компании в разрезе целевых аудиторий;
Ведение необходимой справочной информации в базах данных CRM;
Осуществление поддержки пользователей CRM и других программ мониторинга баз данных, подготовка ответов на возникающие вопросы, обучение сотрудников основам аналитических инструментов и систем, использующихся в Компании в рамках задач, поставленных перед подразделениями;
Разработка аналитических моделей, для измерения эффективности, рентабельности инвестиций Компании. Разработка различных видов отчетов и визуализаций в соответствии с потребностями бизнеса Компании
Подготовка сводных таблиц и аналитических таблиц для пользователей

Требования:

Высшее образование (маркетинговое или техническое)
Предыдущий опыт работы в фармацевтической компании - желательно
Опыт работы маркетинговым аналитиком - желательно
Опыт работы с CRM системой
Уверенный пользователь ПК (Power Point, Excel, cводные таблицы)
Навыки подготовки презентаций для руководства

Условия:

Достойные условия оплаты труда
Социальный пакет",1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,15 мая 2025,https://hh.kz/vacancy/120383153,Не указано
Специалист по тендерным продажам (на завод),ТОО Karadel Mechanics,Вакансия опубликована 15 мая 2025 в Караганде,"от 250 000 до 1 000 000 ₸ за месяц, на руки","На стабильное предприятие в команду для построения современного эффективного коммерческого отдела требуется Специалист по тендерным закупкам:

Наши преимущества и Перспективы:

◼ Мы конкурентоспособны, поэтому нас можно представлять и продавать, с нами можно зарабатывать.

◼ Производство обладает современным импортным оборудованием, позволяющим иметь низкую себестоимость

◼ Оборот компании позволяет развивать направление тендерных площадок и есть возможность организовывать продажи в смежных областях, вплоть до импорта.

(годовой оборот порядка 4-5 млрд, и в будущем запланировано увеличение мощности производств в 2 раза за счет строительства нового завода и выпуска новой продукции)

Предлагаемые условия труда:

- стабильная справедливая оплата труда пропорционально вашей эффективности; 5 дневка.

- социальный пакет, отчисления за счет предприятия, ежегодный оплачиваемый отпуск 24 дня;

Схема оплаты и мотивации:

250000 база + 2% от валовой прибыли

Участие в следующих задачах отдела:

Наращивание валовой прибыли в 2025 году в 1,5 раза по сравнению с прошлым годом за счет:

◼ Увеличение продаж текущей продукции за счет увеличения базы лояльных заказчиков и активных продаж (ранее ими не занимались);

◼ Внедрение новых линеек продукции и организация продаж сопутствующей продукции.

Требуемые компетенции:

◼ знающий базу потенциальных покупателей и тендерных площадок;

◼ понимание конъюнктуры промышленных рынков: недропользователей, энергетической, ж/д, и других машиностроительного применения.

◼ Регламентность, внимательность, юридическая грамотность

◼ Личные положительные качества, энергичность и фокус на результат

Желательные компетенции:

◼ Опыт в оформлении CТ-KZ, сертификатов соответствия, ТПХ и др.

◼ умение достигать договоренности на будущее, навыки установления контакта. Приветствуются навыки активных продаж.

◼ Представления о технических характеристиках промышленной продукции, сортаменте металлов, чертежах.

◼ Отличные навыки работы в Excel, аналитика",3–6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,15 мая 2025,https://hh.kz/vacancy/119735140,"системность,подготовка документов для участия в тендерах,Ориентация на результат,Деловые коммуникации,Участие в Тендерах"
Инженер по технике безопасности,ТОО Коркем Телеком,Вакансия опубликована 14 мая 2025 в Алматы,Не указано,"Sergek Group – казахстанская группа IT-компаний.
Наши сотрудники – это разработчики программного обеспечения, компьютерного зрения и искусственного интеллекта, опытные проектные и продуктовые менеджеры, системные аналитики, бизнес аналитики, дата аналитики, финансовые, экономические и кадровые специалисты, юристы, закупщики, сотрудники HR, PR и GR.

Мы разрабатываем технологии по трем основным направлениям Smart City — общественная и дорожная безопасность, транспорт и экология.

Обязанности:
Разработка и внедрение политики безопасности и охраны труда, разработка инструкций в соответствии с законодательством РК и стандартами безопасности.
Проведение анализа и оценка рисков на рабочих местах, включая выявление потенциальных опасностей и предпринятие мер для их снижения и устранения.
Организация и проведение обучающих и информационных мероприятий для сотрудников по вопросам безопасности и охраны труда, включая обучение по использованию средств индивидуальной защиты, проведение тестирований по проверке знаний в области БиОТ
Контроль и надзор за соблюдением норм и правил безопасности на рабочих местах, а также разработка мероприятий по их улучшению.
Выдача наряд допусков повышенной опасности работникам
Планирование и проведение проверок и аудитов безопасности на предприятии, а также подготовка отчетов о результатах проверок.
Организация расследования несчастных случаев, профессиональных заболеваний и инцидентов, а также анализ причин и разработка мер по их предотвращению.
Поддержание актуальной документации по безопасности и охране труда, включая инструкции по безопасности, журналы регистрации инцидентов и прочих документов.
Поддержка и содействие в развитии культуры безопасности в организации.
Требования:
Образование высшее техническое (желательно Безопасность жизнедеятельности, Техносферная безопасность, Экология);
Опыт работы от 3 лет;
Опытный пользователь ПК (Word, Excel);
Владение казахским, русским языком;
Готовность к кратковременным командировкам;
Опыт в разработке внутренней документации;
Действующий сертификат о прохождении обучение и проверку знаний по вопросам безопасности и охраны труда;
Действующее удостоверение по проверке знаний в области пожарной безопасности в объеме пожарно-технического минимума;
Действующий протокол квалификационной проверки знаний по присвоению, повышению или подтверждению группы допуска по электробезопасности не ниже 4 группы допуска.
Условия:
курсы и тренинги за счет компании;
экстра day offs, помимо отпускных;
комфортный офис с кухней, игровой и парковкой;
выездные тимбилдинги;
материальная помощь к отпуску, а также к памятным событиям.",3–6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,14 мая 2025,https://hh.kz/vacancy/120546537,"Охрана труда и техника безопасности,Обеспечение техники безопасности,Проведение инструктажей"
Системный аналитик,АО Народный банк Казахстана. IT,Вакансия опубликована 15 мая 2025 в Алматы,Не указано,"Требования:

Сбор, анализ и согласование бизнес-требований, подготовка функциональных спецификаций по автоматизации;
Описание и моделирование бизнес-процессов на основе BPMN, написание технических заданий;
Постановка задач для разработки;
Проверка задач после их реализации;
Разработка документации;
Аналитическое сопровождение разработки и тестирования.
Требования:
Высшее финансовое/ IT образование;
Опыт в роли ИТ аналитика не менее 2 лет;
Опыт управления проектами не менее 1 года;

Навыки презентации и демонстрации результатов своей работы;

Условия:

​​​​​​​​​​​​​​​​​​​​​•Заработная плата и бонусы: конкурентоспособная оплата труда благодаря системе грейдирования, премии ко Дню Независимости и годовой бонус.
•Социальный пакет: ДМС и страхование жизни, мобильная связь и скидки от партнеров.
•Отпуск и отдых: 26 дней отпуска с возможностью взять дополнительные дни при наступлении важных событий.
•Бонусы за рекомендации.
•Рабочие условия: льготные условия на паркинг, свободный стиль одежды (smart casual).
•Обучение и развитие: тренинги, вебинары и доступ к корпоративной библиотеке, четкая система карьерного роста.
•Корпоративная культура: открытая и дружеская рабочая атмосфера, спортивные турниры и активная корпоративная жизнь.
•Инициативы и проекты: возможность участия в социальных проектах, реализация идей в новых проектах группы «Halyk» с использованием современных digital-инструментов.
•Команда: творческая и поддерживающая команда для реализации ваших идей.
Присоединяйтесь к нам и становитесь частью команды «Halyk»",3–6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,15 мая 2025,https://hh.kz/vacancy/120574574,"BPMN,UML,Системный анализ,Постановка задач разработчикам"
Кредитный менеджер,ТОО AvtoMarketAlmaty,Вакансия опубликована 15 мая 2025 в Алматы,Не указано,"ОБЯЗАТЕЛЬНО иметь опыт в банке!Если нет опыта,не беспокоить!!!!!







Обязанности:

• Консультирование клиентов автосалона по программам автокредитования, страхования и дополнительным услугам;

• Подбор наиболее выгодных условий кредитования в сотрудничестве с банками-партнерами;

• Оформление кредитных заявок и сопровождение клиентов на всех этапах сделки;

• Взаимодействие с представителями банков и страховых компаний;

• Подготовка и проверка пакета документов;

• Ведение отчетности и клиентской базы.




Требования:

• Опыт работы в сфере автокредитования, банковских или финансовых услуг от 1 года;

• Знание продуктов банков и страховых компаний (желательно);

• Умение вести переговоры, нацеленность на результат;

• Грамотная устная и письменная речь;

• Уверенный пользователь ПК, знание офисных программ;

• Ответственность, внимательность, стрессоустойчивость.




Условия:

• Работа в стабильной и развивающейся компании — автосалон «Автомаркет»;

• Официальное трудоустройство по ТК РФ;

• График работы: 5/2 или сменный (по договоренности);

• Конкурентная заработная плата: фиксированный оклад + высокий % от сделок;

• Обучение и возможность карьерного роста;

• Комфортные условия труда, современное рабочее место, дружный коллектив.",3–6 лет,Полная занятость,График: 6/1,Рабочие часы: 8,Формат работы: на месте работодателя,15 мая 2025,https://hh.kz/vacancy/119989773,"Кредитные договоры,Активные продажи,Деловое общение,Навыки продаж,Финансовый анализ,Деловая переписка,Поиск и привлечение клиентов,Умение работать в коллективе,Организаторские навыки,Работа с документами,оформление документации"
Backend Developer (.NET),Andersen,Вакансия опубликована 15 мая 2025 в Алматы,Не указано,"Andersen, an international IT company, invites a Backend Developer (.NET) to work on a large-scale project for one of our US customers.

The customer is a global leader in providing critical information, analytics, and solutions for major industries and markets that drive economies worldwide. The company offers next-generation insights and analytics to customers in business, finance, and government. It was recognized by Forbes and has been featured on several of their lists, including the World's Best Management Consulting Firms.

The project is an AI-powered software platform designed for engineering teams to enhance research, innovation, and decision-making.

Responsibilities:

Designing, developing, and maintaining microservices and frameworks as part of enterprise-level software applications.
Collaborating with development teams, IT, and project stakeholders to implement complex business solutions.
Building scalable and high-performance web-based applications using .NET Core and C#.
Contributing to the continuous improvement of development practices and processes.
Participating in code reviews and ensuring adherence to best practices in software development.

Must-haves:

Experience in product development, with focus on .NET, for 5+ years.
Strong experience with .NET Core/.NET Framework and C#.
Experience with ASP.NET Core and ASP.NET MVC/Web API.
Hands-on experience with Entity Framework.
Proficiency with relational databases.
Solid understanding of OOP, SOLID principles, and common design patterns.
Strong analytical and problem-solving skills.
Good communication skills, self-motivation, and the ability to work effectively with minimal supervision.
Level of English – from Intermediate+ and above.

Nice-to-haves:

Front-end development experience (JavaScript/TypeScript, Angular).
Familiarity with SQLite and ElasticSearch.
Experience with cloud platforms, preferably Azure or AWS.
Experience with Microsoft Azure DevOps Software.

Reasons why this job would be interesting to you:

Experience in teamwork with leaders in FinTech, Healthcare, Retail, Telecom, and others. Andersen cooperates with such businesses as Samsung, Siemens, Johnson & Johnson, BNP Paribas, Ryanair, Mercedes, TUI, Verivox, Allianz, T-Systems, etc..
The opportunity to change the project and/or develop expertise in an interesting business domain.
Job conditions – you can work both fully remotely and from the office or can choose a hybrid variant.
Guarantee of professional, financial, and career growth! The company has introduced systems of mentoring and adaptation for each new employee.
The opportunity to earn up to an additional 1,000 EUR per month, depending on the level of expertise, which will be included in the annual bonus, by participating in the company's activities.
Access to the corporate training portal, where the entire knowledge base of the company is collected and which is constantly updated.
Bright corporate life (parties / pizza days / PlayStation / fruits / coffee / snacks / movies).
Certification compensation (AWS, PMP, etc).
Referral program.
English courses.
Private health insurance and compensation for sports activities.

Join us!

Your personal data is protected in accordance with GDPR regulations. Learn more: https://andersenlab.com/privacy-policy",более 6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: удалённо,15 мая 2025,https://hh.kz/vacancy/120564841,".NET Core,.NET Framework,ASP.NET Core,ASP.NET MVC,Entity Framework,C#,Английский — B2 — Средне-продвинутый"
Финансовый аналитик,ТОО Ресурс Плюс KZ,Вакансия опубликована 14 мая 2025 в Алматы,"от 600 000 ₸ за месяц, на руки","Мы компания- партнер Яндекс такси, владеющая сетью таксопарков по всему Казахстану.
Мы являемся крупнейшими в своей отрасли в Казахстане и стабильно развиваемся на рынке более 8-ми лет.

В связи с расширением компании, мы ищем финансового аналитика. Не упустите шанс стать частью активно развивающейся команды!

Наши условия:

График работы 5/2 пн-пт с 09.00-18.00;

Оформление согласно ТК РК;

Уютный и светлый офис в деловом центре города;

Дружный молодой коллектив и выезды на тимбилдинги;

Размер ЗП зависит от навыков и обсуждается при собеседовании!

Обязанности:

1. Финансовый анализ и прогнозирование:
• Сбор, обработка и анализ финансовых данных компании для оценки текущего состояния и прогнозирования будущих показателей.
• Подготовка финансовых моделей для оценки рентабельности проектов и инициатив.
2. Бюджетирование и контроль:
• Разработка и контроль исполнения бюджетов подразделений и проектов.
• Анализ отклонений фактических показателей от плановых и предоставление рекомендаций по их корректировке.
3. Отчетность и презентации:
• Формирование регулярной управленческой отчетности для руководства компании.
• Подготовка аналитических материалов и презентаций по финансовым показателям и ключевым метрикам.
4. Оценка и управление рисками:
• Идентификация финансовых рисков и разработка мер по их минимизации.
• Оценка инвестиционных проектов и предоставление рекомендаций по их реализации.
5. Взаимодействие с подразделениями:
• Консультирование руководителей подразделений по финансовым вопросам.
• Участие в разработке и внедрении мероприятий по повышению финансовой эффективности компании.

Требования:

1. Образование и опыт:
• Высшее образование в области экономики, финансов или бухгалтерского учета.
• Опыт работы на позиции финансового аналитика не менее 3 лет.
2. Профессиональные навыки:
• Глубокие знания в области финансового анализа, бюджетирования и управленческого учета.
• Продвинутые навыки работы в MS Excel, включая финансовое моделирование.
• Опыт работы с ERP-системами и специализированными программами для финансового анализа.
3. Личные качества:
• Высокий уровень аналитического мышления и внимание к деталям.
• Способность работать с большими объемами информации и в условиях многозадачности.
• Ответственность, инициативность и умение работать в команде.
4. Дополнительные требования:
• Готовность к интенсивной работе в периоды высокой нагрузки и способность соблюдать установленные сроки.
• Желательно наличие профессиональных сертификатов (например, CIMA, CFA).

Обязательно оставляй отклик и мы тебе перезвоним!",1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,14 мая 2025,https://hh.kz/vacancy/120546718,"Финансовая отчетность,Работа с базами данных,Аналитические исследования,Аналитическое мышление,Финансовый анализ,MS Excel,Многозадачность,Кассовые операции,Аналитика,Работа с большим объемом информации"
Руководитель отдела маркетинга (товарный бизнес),Рекрутинговое агентство CHANGE (ИП Куприянова),Вакансия опубликована 15 мая 2025 в Алматы,"от 800 000 ₸ за месяц, на руки","ABIROY GROUP — один из лидеров в сфере промышленных систем водоподготовки в Казахстане. С 2011 года мы развиваем технически сложный и устойчивый бизнес, представляем на рынке международные бренды Ecosoft и Dow Chemical Corporation и работаем с крупнейшими клиентами страны.

Мы ищем сильного руководителя маркетинга, который станет драйвером роста компании через выстроенную с нуля стратегию, эффективное управление командой и точные маркетинговые решения.


Что предлагаем:

Руководящая роль в компании с устойчивым и масштабируемым бизнесом

Участие в принятии ключевых решений по развитию компании

Оклад: от 800 000 ₸ на руки

Бонус за выполнение стратегических задач

Бонус от выручки — при достижении значимого влияния на бизнес-результаты

Полный рабочий день в офисе, график 5/2


Что предстоит:

Разработать и внедрить маркетинговую стратегию, опираясь на амбиции бизнеса

Сформировать и контролировать всю воронку маркетинга: от узнаваемости до привлечения лидов

Управлять аутсорс-командой и подрядчиками: подбирать, ставить задачи, добиваться результата

Повышать узнаваемость бренда и усиливать его позицию на рынке

Отвечать за аналитику, бюджеты, эффективность каждого вложенного тенге

Взаимодействовать с ключевыми подразделениями компании

Участвовать в продвижении социальных и экологических инициатив бренда


Кого мы ищем:

Руководителя с опытом в товарном бизнесе (не услуги), с пониманием, как маркетинг влияет на выручку

Человека с опытом в маркетинге от 5 лет, который умеет строить систему, а не подменять собой исполнителей

Сильного управленца, способного работать через команду и подрядчиков

Стратегически мыслящего профессионала с высокой самостоятельностью

Владение Excel, CRM, BI, digital-аналитикой — обязательны

Если вы чувствуете, что готовы взять под контроль рост бренда и отвечать за результат — ждём ваше резюме.
Здесь будет не только работа, но и влияние.",3–6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,15 мая 2025,https://hh.kz/vacancy/120588338,Не указано
Business/System Analyst,Andersen,Вакансия опубликована 14 мая 2025 в Алматы,Не указано,"Andersen, an international IT company, invites an experienced Business/System Analyst to join its team for working with a company from the USA.

The customer is a global corporate travel payment solution owned and operated by the world’s airlines. The network consists of major airlines that issue charge cards accepted by thousands of merchants around the world for air, rail, cruise and travel agency payments.

The project is the development of a corporate travel payment network.

Responsibilities:

Knowledge of Agile processes like sprint planning and backlog refinement.
Translating business needs into actionable requirements.
Balancing roadmaps with client demands and team capacity.
Understanding complex processes and simplifying them for clarity and execution.
Creating flowcharts, sequence diagrams, business definitions, and other artifacts required for software requirements.

Must-haves:

Experience creating user stories, documentation, and defining DoD and DoR for 3+ years.
Expertise in prioritizing requirements to mitigate risks.
Familiarity with Product Management and roadmap optimization.
Knowledge of Agile metrics and reporting tools.
Strong communication skills to explain complex systems to high-level stakeholders.
Background in stakeholder management and conflict resolution.
Level of English – Upper-Intermediate+ and above.

Nice-to-have:

Experience presenting to executive stakeholders.
Experience in FinTech.

Reasons why this job would be interesting to you:

Experience in teamwork with leaders in FinTech, Healthcare, Retail, Telecom, and others. Andersen cooperates with such businesses as Samsung, Siemens, Johnson & Johnson, BNP Paribas, Ryanair, Mercedes, TUI, Verivox, Allianz, T-Systems, etc.;
The opportunity to change the project and/or develop expertise in an interesting business domain;
Job conditions – you can work both fully remotely and from the office or can choose a hybrid variant;
Guarantee of professional, financial, and career growth! The company has introduced systems of mentoring and adaptation for each new employee;
The opportunity to earn additional up to 1,700 EUR per month by participating in the company's activities;
Access to the corporate training portal, where the entire knowledge base of the company is collected and which is constantly updated;
Bright corporate life (parties / pizza days / PlayStation / fruits / coffee / snacks / movies);
Certification compensation (AWS, PMP, etc);
Referral program;
English courses;
Private health insurance and compensation for sports activities.

Your personal data is protected in accordance with GDPR regulations. Learn more: https://andersenlab.com/privacy-policy

Join us!",3–6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: удалённо,14 мая 2025,https://hh.kz/vacancy/120541742,"Бизнес-анализ,Системный анализ,Definition of Ready,Definition of Done,Английский — B1 — Средний"
