title,company,location,salary,description,experience,employment_type,schedule,working_hours,work_format,published_date,link,skills,salary_range,published_date_dt
Аналитик,ТОО МФО Credit365 Kazakhstan (Кредит 365 Казахстан),Алматы,"от 1 000 000 ₸ за месяц, на руки","«CREDIT 365 Kazakhstan» — это сервис по предоставлению микрокредитов электронным способом, который не требует посещения офиса и предоставления лишних документов. Наша цель — быстро и удобно предоставлять микрокредиты онлайн на прозрачных и выгодных условиях.

Сейчас мы в поисках Аналитика. Присоединяйтесь к CREDIT 365 и становитесь важной частью большого объединения профессионалов!

Задачи:

Сбор, подготовка и предоставление данных для регулирующего органа и руководства компании.
Ежедневные внутренние отчеты для департаментов компании.
Сверка реестров поставщиков платежных сервисов и банков с данными CRM и бухгалтерии.
Разработка технического задания (ТЗ) для подразделения IT, постановка и контроль задач в JIRA в целях оптимизации бизнес-процессов компании.

Что для нас важно:

Знание Exсel на очень высоком уровне (ВПР, сводные таблицы и пр.).
Знание SQL будет плюсом.
Опыт работы в сфере МФО/банков будет плюсом.

Что мы предлагаем:

- Конкурентоспособную заработную плату
- Современный офис с удобным расположением, комнатой отдыха с массажным креслом, кофемашиной и зоной для отдыха (печеньки, кофе всегда под рукой)
- Помощь и поддержка со стороны HR
- Обучение и наставничество от опытных специалистов
- Карьерный рост — у нас все операционные руководители выросли из наших линейных сотрудников!
- Уникальная возможность развиваться в нашей Академии, где ты прокачаешь свои профессиональные навыки
- График 5/2 с 09:00 до 18:00",3–6 лет,Полная занятость,График: 5/2,8,На месте работодателя,14 мая 2025,https://hh.kz/vacancy/120391544,Не указано,от 1000000 ₸,2025-05-14
Технолог склада со знанием и опытом работы в WMS (Илийский район),ТОО ALCOMARKET.KZ (АЛКОМАРКЕТ.КЗ),Алматы,"от 330 000 до 450 000 ₸ за месяц, на руки","Уважаемые соискатели, склад находится по адресу: Илийский р/н, ул. Первомайская пром.зона 235/1В

Обязанности:

аналитика продаж, товарных запасов, урегулирование и недопущение ситуаций с недостаточным либо избыточным товарным запасом;
оперативный заказ на заканчивающийся товар с учетом анализа потребности (если данный товар уже ранее закупали), остатков и минимального количества;
обеспечение порядка в компьютерном виде: ведение Excel Базы по закрепленной товарной группе;
работа с заказами (заявки на магазины поставщикам, заявки на распределительный центр, ведение сформированного заказа до момента поступления на ТТ);
работа с поставщиками и магазинами по сформированным заказам;
работа с автоматизацией заказов (настройка параметров автозаказов по действующим и новым поставщикам сети в ERP);
знание 1С
знание ERP Астор и будет большим плюсом)
Требования:

коммуникабельность;

Excel - знание формул Сумм если и ВПР(основные), умение работать со сводными таблицам, промежуточными итогами и фильтром;

аналитические способности;

опыт работы с большой базой данных (опыт работы с алкоголем будет большим плюсом.

Условия:
Оформление согласно ТК РК
Своевременные выплаты
График работы: 5/2, 09.00-18.00
Удаленный формат работы не рассматриваем.",1–3 года,Полная занятость,График: 5/2,8,На месте работодателя,14 мая 2025,https://hh.kz/vacancy/119619396,Не указано,330000-450000 ₸,2025-05-14
Middle architect,АО Народный банк Казахстана. IT,Алматы,Не указано,"​​Требования:

Высшее техническое/радиотехническое/математическое/ИТ/ИБ образование.
Общий опыт работы по специализации не менее 1 года.
Понимание ИТ и ИБ архитектуры систем управления идентификацией и доступом.
Знание основных требований и стандартов ИБ в банковской сфере РК
Знание принципов разработки проектной документации для ИТ и ИБ доработок в информационных системах.
Знание методик тестирования, анализа требований, проектирования тест-кейсов и отслеживания дефектов.
Data Science. Умение работать с большими объемами данных.
Знание инструментов для автоматизации тестирования API ( SOAP UI, Insomnia и др.).
Знание Python, Jupyter Notebook, SQL, форматов JSON и XML.

Условия:

•Заработная плата и бонусы: конкурентоспособная оплата труда благодаря системе грейдирования, премии ко Дню Независимости и годовой бонус.
•Социальный пакет: ДМС и страхование жизни, мобильная связь и скидки от партнеров.
•Отпуск и отдых: 26 дней отпуска с возможностью взять дополнительные дни при наступлении важных событий.
•Бонусы за рекомендации.
•Рабочие условия: льготные условия на паркинг, свободный стиль одежды (smart casual).
•Обучение и развитие: тренинги, вебинары и доступ к корпоративной библиотеке, четкая система карьерного роста.
•Корпоративная культура: открытая и дружеская рабочая атмосфера, спортивные турниры и активная корпоративная жизнь.
•Инициативы и проекты: возможность участия в социальных проектах, реализация идей в новых проектах группы «Halyk» с использованием современных digital-инструментов.
•Команда: творческая и поддерживающая команда для реализации ваших идей.
Присоединяйтесь к нам и становитесь частью команды «Halyk»!",1–3 года,Полная занятость,График: 5/2,8,На месте работодателя,15 мая 2025,https://hh.kz/vacancy/120564628,Не указано,Не указано,2025-05-15
Аналитик в отдел таможенной очистки,ТОО Alstom,Астана,Не указано,"В Alstom мы понимаем транспортные сети и то, что движет людьми. От высокоскоростных поездов, метро, монорельсовых дорог и трамваев до готовых к использованию систем, услуг, инфраструктуры, сигнализации и цифровой мобильности — мы предлагаем нашим разнообразным клиентам широчайший портфель решений в отрасли.
Каждый день более 80 000 коллег прокладывают путь к более экологичной и разумной мобильности по всему миру, соединяя города по мере того, как мы сокращаем выбросы углекислого газа и заменяем автомобили.

Может быть, вы тот Аналитик в отдел таможенной очистки которого мы ищем в Астане?
Примените свою экспертизу в новой современной области. Вы будете работать с Начальником Таможенного Отдела Розой Смагуловой на заводе ЭКЗ. Ежедневно вы будете отвечать за правильное оформление деклараций, таможенную очистку грузов, взаимодействовать с командами Снабжения, Качеством и другими.

Основные задачи включают в себя:
• Анализ данных и подготовка для загрузки в программы по тамож.контролю товаров.
• Составление квартального отчета СЭЗ.
• Подготовка данных, обработка и таможенное оформление готового продукта- электровоза.
• Работа в программе GSI (SAP) для анализа.
• Соблюдение и исполнение норм таможенного законодательства ЕАЭС и РК
• Соблюдение и исполнение норм для резидентов СЭЗ.

Кого мы ищем?
Для нас интерес к работе и правильное отношение к работе важнее опыта. Поэтому мы не ожидаем, что вы будете обладать всеми необходимыми навыками. Следующие качества и навыки помогут вам достичь успеха в этой роли:
• Высшее образование.
• Глубокое знание SAP, Excel
• Усидчивость, готовность к рутине, ответственность, аналитическое мышление.
• Опыт работы в рамках программах Excel, SAP.

Почему вам у нас понравится:
Присоединяйтесь к нам в этом трансформационном путешествии. За эелезнодорожной индустрией будущее, поэтому вы можете расти и развивать новые навыки, приобретать новые знания на протяжении всей карьеры. Также мы предлагаем:
• Стабильность, интересные вызовы и долгосрочная карьера, свободная от рутины и скуки
• Работа в компании-лидере рынка транспортных технологий
• Работа в международном коллективе с заботливыми коллегами
• Участие в инновационных проектах
• Гибкая рабочая среда
• Развитие карьеры в любых направлениях, функциях и странах
• Постоянное обучение, доступ к международно признанному Alstom University
• Справедливый компенсационный пакет, который учитывает ваши результаты и ваш потенциал
• Конкурентный социальный пакет, включающий страхование жизни, медицинское страхование, развозку и скидку на фитнес.

• Бесплатные обеды",1–3 года,Полная занятость,График: 5/2,8,На месте работодателя,14 мая 2025,https://hh.kz/vacancy/120538044,Не указано,Не указано,2025-05-14
Аналитик продаж,ИП MEIR DESIGN,Алматы,Не указано,"Присоединяйся к нашей команде аналитиков!

Мы ищем профессионала, который поможет нам анализировать данные, строить прогнозы и разрабатывать стратегии для достижения новых вершин в продажах.

Что ты будешь делать:

Собирать и анализировать данные по продажам, выявлять тренды и закономерности
Прогнозировать объемы продаж и предсказывать рыночные изменения
Разрабатывать и оптимизировать стратегии продаж, включая ценообразование
Создавать отчетность и визуализировать данные с помощью дашбордов и презентаций
Проводить мониторинг рынка и готовить подробные аналитические отчеты

Наши ожидания:

Отличные навыки работы с MS Excel (Power BI – будет плюсом!)
Умение работать с большими объемами информации и выявлять важные данные
Понимание принципов аналитической отчетности и структурированного представления информации
Точность, внимательность и аналитический склад ума

Мы предлагаем:

Конкурентоспособный оклад + бонусы по KPI (обсуждается на собеседовании)
Материальная помощь
Бесплатные вкусные обеды, кофе и сладости ☕️
Современный офис в центре города (Макатаева-Байтурсынова), уютная рабочая атмосфера
Активная корпоративная жизнь, тренинги и возможности для карьерного роста

Почему с нами? Ты будешь работать в команде профессионалов, где твои идеи и аналитические решения реально влияют на бизнес-процессы. Плюс у нас всегда есть место для твоего развития!

Если ты готов к новым вызовам и хочешь стать частью успешной команды — откликайся прямо сейчас!",3–6 лет,Полная занятость,График: 5/2,8,На месте работодателя,14 мая 2025,https://hh.kz/vacancy/120535891,Не указано,Не указано,2025-05-14
Аналитик по стратегическому планированию,АО Jusan Bank,Алматы,Не указано,"Обязанности:

Сбор, систематизация и анализ рыночной, отраслевой и внутренней трансформации.
Подготовка аналитических справок, обзоров и презентаций.
Подготовка материалов для стратегических сессий, совещаний, презентаций для руководства.
Сопровождение разработки и мониторинга стратегического плана развития Банка.
Отслеживание ключевых инициатив и тд.

Требования:

Высшее образование.
Стратегическое мышление и планирование.
Анализ внешней среды, финансовых и операционных показателей.
Понимание финансовой отчетности, бюджетирования.
Опыт работы в аналитике не менее 5 лет.
Владение BI инструментами. Знание проектных методологий.

Условия:

Ежеквартальные премии;
Корпоративные предложения по фитнесу;
Корпоративные скидки на онлайн обучение в Skyeng для вас и ваших близких;
Бесплатная подписка на онлайн библитеку «Альпина Паблишер»;
Приятная рабочая атмосфера в современном офисе в деловой части города;
Возможность строить карьеру в одном из крупнейших банков Казахстана.",3–6 лет,Полная занятость,График: 5/2,8,На месте работодателя,15 мая 2025,https://hh.kz/vacancy/120563895,Не указано,Не указано,2025-05-15
Помощник/ассистент руководителя,ИП Credit Consult Group,Алматы,Не указано,"Мы — «Credit Consult Group», команда экспертов, с 2020 года помогаем малым и средним бизнесам получать доступ к выгодному кредитованию. Мы предоставляем полный спектр услуг по сбору, проверке и подготовке документов для оформления залоговых и беззалоговых кредитов для бизнеса по низким ставкам. Наши клиенты: ИП, ТОО, крестьянские хозяйства и др. представители B2B-сегмента.
Наша миссия: помочь как можно большему числу предпринимателей и бизнесменов развить свое дело, чтобы создавать новые рабочие места и вносить свой вклад в развитие экономики страны. Мы верим, что каждое успешное дело — это шаг к более стабильному и процветающему завтра. Мы уже помогли получить бизнесам кредитов на сумму более 8 миллиардов тенге.

В сферу наших услуг входит оформление всей первичной документации: справок о налоговой задолженности, справок об обременениях, составления бизнес-планов, финансового анализа и др.

Наша гордость — молодой, дружный и амбициозный коллектив, который не боится сложных задач и всегда идет навстречу новым вызовам. Мы ценим не только профессионализм, но и человеческие отношения. У нас нет бюрократии и стагнации — только дружеская атмосфера и общая цель сделать мир бизнеса лучше.
В связи с ростом ищем в команду ассистента, готового стать частью нашей команды.

Основной функционал:

Встреча клиентов в офисе (чай, кофе)

Организация и протоколирование встреч Zoom

Выполнение личных поручений

Закуп товара в офис

Подача объявлений вакансий, первичные собеседования, назначение встреч с руководством

Контроль подрядчиков, поиск мастеров на мелкие работы при необходимости

Предоставление информации для отдела маркетинга по запросу

Вести таблицу учета ДДС — для директоров

Работа в АМОсрм

Отправка документов бухгалтеру на оплату

Контроль ежемесячных оплат сервисов и и.д.

Что важно в кандидате:

Знание русского и казахского языков;

Грамотная устная и письменная речь, владение Word и Excel;

Навыки деловой коммуникации на высоком уровне (интеллигентность, уважение к клиентам).

Условия работы:

График работы: 5/2 с 10:00ч до 18:00ч;

ЗП 150 000 тенге;

Есть возможность карьерного роста до финансового консультанта;

Официальное устройство по ТК РК, пенсионные отчисления;

Дружный коллектив и уютный офис.

Для прохождения на вакансию нужно:

Пройти первичное собеседование по телефону

Пройти итоговое собеседование с генеральным директором.

До встречи в нашей команде!",не требуется,"Полная занятость
Возможно временное оформление",График: 5/2,8,На месте работодателя,14 мая 2025,https://hh.kz/vacancy/120522692,Не указано,Не указано,2025-05-14
Fullstack разработчик (Laravel + Vue),ТОО Инфинити Групп Казахстан,Алматы,"от 600 000 до 1 000 000 ₸ за месяц, на руки","Обязанности:

Разработка и поддержка внутренних и клиентских решений на базе Laravel 9+ и Vue2;
Создание и поддержка REST API, интеграции с внешними системами;
Работа с существующим кодом: анализ, рефакторинг, оптимизация;
Написание чистого, структурированного и поддерживаемого кода в соответствии с принципами SOLID и концепциями чистой архитектуры;
Работа с базами данных: проектирование, оптимизация SQL-запросов;
Участие в обсуждениях архитектурных решений, код-ревью, планировании задач;
Взаимодействие с командой разработки, аналитиками и проект-менеджерами;
Написание и поддержка автоматических тестов (будет плюсом).

Требования:

Уверенное знание Laravel 9+ и PHP 8+;
Хорошее понимание принципов ООП и архитектурных подходов;
Уверенное знание Vue 2 и опыт в построении SPA;
Опыт работы с MySQL, понимание индексов, транзакций, оптимизации запросов;
Опыт разработки RESTful API и понимание принципов взаимодействия клиент-сервер;
Умение работать с чужим кодом, объективно критиковать и воспринимать критику;
Командный дух, готовность обсуждать решения и поддерживать коллег;
Плюсом будет опыт написания Unit и Feature тестов.

Мы предлагаем:

Стабильный доход: «белая» зарплата + бонусы по результатам проектов;
Современные технологии и реальные задачи, где вы можете влиять на архитектуру и результат;
Поддержка и развитие: наставничество, внутренние обучающие программы, участие в конференциях;
Прозрачная система роста: возможность карьерного и профессионального развития внутри компании;
Корпоративная культура: уважение к мнению, открытость, юмор и взаимопомощь;
Работа в команде, где ценится качество, ответственность и готовность создавать крутые продукты.
Современный офис зона отдыха с PlayStation и мягкими пуфами, кухня с угощениями, любимая музыка на фоне.
Крутые мероприятия ежемесячные корпоративы для всей команды.
Отпуск 24 дня в году — планируйте отдых заранее.

О компании:

LEEN Platform - SaaS ERP-системауправления, спроектированная с целью оптимизации бизнес-процессов и адаптируемая под уникальные потребности каждого бизнеса.

Как присоединиться к нам: Если вы узнали себя в этом описании и хотите расти в команде, где ценится подход к делу и качество кода, отправьте своё резюме с кодовой фразой «Хочу писать светлый код для Leen». Это ваш первый шаг в команду, которая стремится не просто делать «как надо», а делать круто и с умом.",3–6 лет,Полная занятость,График: 5/2,8,На месте работодателя,15 мая 2025,https://hh.kz/vacancy/119888896,Не указано,600000-1000000 ₸,2025-05-15
Персональный менеджер,АО Микрофинансовая организация KMF(КМФ),Жезказгане,Не указано,"Компания KMF – лидер на рынке микрокредитования с большими планами на будущее. Мы открыли более 116 офисов, получили множество наград и активно принимаем участие в важных для экономики Казахстана событиях. Поддерживаем «зеленые технологии», спорт, предпринимательство и т.д.

Персональный менеджер – это ключевое звено, лицо Компании, движущая сила, и мы ищем сотрудника в нашу команду. Персональный менеджер – это ответственность, амбициозность и коммуникабельность. Благодаря этим качествам вы сможете многого добиться и значительно повысить свои доходы.

Что делать?

Консультировать клиентов на всех этапах сотрудничества;
Вести и увеличивать клиентскую базу;
Проводить финансовый анализ бизнеса клиентов.

В помощь прилагается:

Планшеты;
Брендированная экипировка;
Оплачиваемая сотовая связь.

Если у вас:

Высшее или средне-специальное образование;
Навыки пользователя ПК;
Желание быть лучше каждый день;",не требуется,Полная занятость,График: 5/2,8,Не указано,15 мая 2025,https://hh.kz/vacancy/120562423,Не указано,Не указано,2025-05-15
Sales Strategies Supervisor,АО ИП Эфес Казахстан,Алматы,Не указано,"Duties and responsibilities:

Assist in the development of revenue growth strategies by collaborating with the Sales Managers.
Support the identification and development of profit improvement opportunities through data analysis and reporting.
Assist in the implementation of action plans and system structure changes to capture market opportunities effectively.
Contribute to pricing analysis and risk management to support the creation of business proposals and pricing strategies.
Analyze components such as price, volume and discount, and provide insights on alternative solutions in channel pricing and SKU management.
Aid in distributor development by analyzing distributor P&L statements to identify areas for cost optimization and improved profitability.

Key Dimentions:

Financial: Sales performance, Sales volumes, Market share, efficient spend, within the approved budget limits
Environment: Building stable partnership relations with third parties (distributors, partners, Efes managers). Highly volatile market situation, competitive environment

Competency requirements:

Bachelor's degree in finance, economics, business or engineering departments
5 years of working experience in Sales/Sales Systems/Trade Marketing
Understanding of Marketing/Trade Marketing
Analytical mindset, critical thinking
Strong communication, problem solving
Knowledge of English language on Upper Intermediate or higher level
Advanced excel and power point
Flexible individual with ability to multitask, to exercise initiative, and work effectively under pressure, paying strong attention to detail
Willingness to travel and field visits",более 6 лет,Полная занятость,График: 5/2,8,Не указано,15 мая 2025,https://hh.kz/vacancy/120567529,Не указано,Не указано,2025-05-15
