title,company,location,salary,description,experience,employment_type,schedule,working_hours,work_format,published_date,link,skills,salary_range,published_date_dt
Специалист по информационной безопасности (PCI DSS Informational Security Specialist),ЧАСТНАЯ КОМПАНИЯ COLLECT&PAY LTD.,Астана,"от 2 000 $ за месяц, на руки","Сollect Group Holdings is a forward-thinking group of fintech companies founded in 2017. We are dedicated to revolutionizing the payment industry by developing cutting-edge fintech and blockchain platforms and providing with the best payment solution to international businesses and individuals.

Collect & Pay - collectnpay.com

Collect & Exchange - collectnexchange.com

Capital Pay - capitalpay.biz/en

Vacancy: Information Security Specialist
Location: Republic of Kazakhstan, Astana
Work format: Office

The Information Security Officer (ISO) is responsible for establishing and maintaining the company’s information security program, ensuring that information assets and associated technologies, applications, systems, infrastructure, and processes are protected in accordance with regulatory, legal, and business requirements of the Republic of Kazakhstan and international standards. This role will play a crucial part in compliance with AIFC regulations, enhancing organizational cybersecurity readiness and resilience.

Key Responsibilities

Ensure compliance with Kazakhstani laws, including: Law on Informatization, Law on Personal Data and Their Protection, Law on Payments and Payment Systems, Rules for Organizing the Activities of Payment Organizations (NBK Resolution).

Lead internal information security awareness training and phishing simulation campaigns.

Coordinate and execute response protocols for malware infections, unauthorized access attempts, and suspicious financial transactions.

Manage vulnerability identification and remediation; establish preventive security controls.

Maintain comprehensive logs and records of security incidents and events; generate internal and regulatory reports as required.

Assist in external and internal audits, ensuring continued compliance with standards such as ISO/IEC 27001 and PCI DSS.

Support IT infrastructure teams to ensure secure and resilient technology operations aligned with legal and business expectations.

Perform security risk assessments and contribute to ongoing risk management planning.

Qualifications

Bachelor's degree in Information Security, Computer Science, Cybersecurity, or related field.

Minimum 3–5 years of experience in an information security role, preferably within fintech, banking, or payment institutions.

Strong knowledge of Kazakhstani information security laws and regulations.

Experience working with or within regulatory bodies (e.g., AIFC) is an asset.

Industry certifications preferred (e.g., CISSP, CISM, ISO 27001 Lead Implementer, CEH).

Knowledge of international standards (ISO/IEC 27001, PCI DSS) and risk frameworks (e.g., NIST, COBIT).

Fluency in Kazakh and/or Russian; English proficiency desirable for regulatory communication.

What do we offer?

You will have the status of an employee at a tech company with great growth potential, a very long runway, and large, growing markets

Competitive salary and stable working conditions

Career and professional development opportunities

Paid lunches

Engaging tasks that will help you grow

A friendly team with no unnecessary formalities and hierarchy

Opportunity for additional company-sponsored training",3–6 лет,Полная занятость,График: 5/2,8 или 9,На месте работодателя,15 мая 2025,https://hh.kz/vacancy/120384000,Не указано,от 2000 $,2025-05-15
Финансовый аналитик,ТОО Платежная Организация MaxPay,Алматы,"до 700 000 ₸ за месяц, на руки","Обязанности:

Анализ и сбор данных из различных источников для построения финансовой отчетности

Анализ потребностей заинтересованных лиц, дизайн отчетов для различного круга пользователей

Анализ финансовой отчетности (ОПУ, Баланс, ОДДС), на основе сравнения плана и факта.

Разработка метрик и методов отслеживания эффективности

выработка рекомендаций по повышению эффективности построения финансовой отчетности

Требования:

Высшее экономическое образование
Отличное знание Excel, 1C бухгалтерия


Условия:

График работы 5/2 с 10:00-19:00
Трудоустройство согласно ТК РК
Комфортные условия работы
Доброжелательный коллектив",3–6 лет,Полная занятость,График: 5/2,8,На месте работодателя,15 мая 2025,https://hh.kz/vacancy/120409576,Не указано,до 700000 ₸,2025-05-15
Кредитный менеджер в Сарыагаш,ТОО МФО Swiss Capital (Свисс Капитал),Сарыагаше,"от 183 000 до 400 000 ₸ за месяц, на руки","В связи с расширением деятельности компании Swiss Capital, объявляется конкурс на занятие вакантной должности «Кредитный менеджер».

""Swiss Сapital"" - международная компания по предоставлению микрокредитов населению. Мы активно работаем над развитием международного бренда, для этого нам нужны амбициозные и ответственные сотрудники, готовые расти и развиваться.

С нашей стороны предоставляем полное обучение, прозрачную систему мотивации и карьерный рост.

У нас стандартизированные процессы, и мы прислушиваемся к каждому нашему сотруднику в целях улучшения нашей работы.

Если это про вас, ждем вас на отбор!

Обязанности:

Выдача микрозаймов под залог недвижимости и автомобиля;
Выполнение плана продаж, распространение рекламной продукции;
Консультирование клиентов по вопросам условий кредитования;
Оценка платежеспособности заемщика, финансовый анализ;
Сопровождение займов до полного погашения.

Требования:

— Опыт в МФО или банке от 1 года (желательно);
— Образование: средне-специальное или высшее;
— Знание казахского и русского, ПК, навыки общения;

Условия:

Оформление в соответствии с ТК РК;
Стабильная заработная плата (оклад + бонусы);
График работы 5/2 с 10:00 до 19:00;
Медицинское страхование, оплачиваемый трудовой отпуск.",1–3 года,"Полная занятость
Стажировка",График: 5/2,8,На месте работодателя,16 мая 2025,https://hh.kz/vacancy/120611919,Не указано,183000-400000 ₸,2025-05-16
Middle QA инженер,ТОО IT Space Apps,Алматы,"от 800 000 ₸ за месяц, на руки","Мы компания IT Space Apps - специализируемся на разработке мобильных приложений. Наша команда состоит из опытных разработчиков, которые стремятся к высочайшему качеству.

Мы быстро развивающая команда с амбициозными целями. Ищем в команду только сильных людей, которые хотят развиваться с НАМИ!

Сейчас мы в поиске классного Middle QA Тестировщика !

Наши условия:

Крутая дружная команда
Официальное трудоустройство
Карьерный рост
Работа в комфортном, современно оборудованном офисе класса А
График работы 5/2 с 10:00 до 19:00, рассматриваем только оффлайн формат)
Отсутствие строгого дресс-кода
Бесплатный кофе и прочие вкусняшки в офисе каждый день
Никакой бюрократии
Тимбилдинги, выезды с командой

Размер ЗП зависит от навыков и обсуждается при собеседовании!

Технические навыки:
Языки программирования:

Уверенное владение одним или несколькими языками автоматизации: Python, Java, JavaScript или другим, используемым на проекте.

Понимание принципов ООП и навыки написания чистого, поддерживаемого кода.

Фреймворки и инструменты:

Selenium/WebDriver — автоматизация веб-приложений.

Appium или Flutter Driver — для мобильного тестирования.

REST Assured, Postman или аналогичные инструменты для API тестирования.

Опыт работы с CI/CD (предпочтительно GitLab CI/CD).

Тестовая документация:

Понимание жизненного цикла разработки ПО.

Умение составлять и актуализировать тест-кейсы, тест-сценарии и чек-листы.

Базы данных и запросы:

Владение SQL для проверки корректности и валидации данных.

Мониторинг и отладка:

Опыт анализа логов, интеграция с инструментами мониторинга: Grafana, Kibana и др.

Ключевые личные качества

Внимание к деталям — способность замечать даже мелкие отклонения.

Четкая коммуникация — умение понятно описывать баги, доносить сложную информацию простыми словами.

Гибкость — готовность быстро адаптироваться к новым требованиям или технологиям.

Желание учиться — интерес к новым инструментам, подходам и постоянному профессиональному развитию.

Опыт и тип задач

Автоматизация:

Написание автотестов для регрессионного и функционального тестирования.

Участие в настройке и поддержке CI/CD пайплайнов.

Интеграция тестов:

Создание smoke-тестов для проверки стабильности сборок.

Построение процессов регрессионного автотестирования.

Взаимодействие с командой:

Обсуждение требований с разработчиками и аналитиками.

Совместная работа с DevOps над настройкой тестовых сред и решением инцидентов.

Масштабируемость и архитектура:

Опыт построения автотестовых фреймворков с нуля.

Оптимизация тестов под нагрузочные сценарии и большие объёмы данных.

Обязательно оставляй отклик и мы тебе перезвоним! Сопроводительное письмо будет рассматриваться в первую очередь!)",1–3 года,Полная занятость,График: 5/2,8,На месте работодателя,15 мая 2025,https://hh.kz/vacancy/120412443,Не указано,от 800000 ₸,2025-05-15
Android Development with AI Tools (Tech Orda Voucher) Trainee,"ТОО Epam Kazakhstan (Эпам Казахстан),ТОО",Актау,Не указано,"Details

To get into the program, you need to undergo a preliminary competitive selection process.

The Android Development program is designed to prepare you for a career as an Android Developer. You will master Java and Kotlin and learn to create modern mobile applications for the Android platform.

During the program, you will:

Design intuitive and user-friendly mobile interfaces using modern UI development practices.
Work with APIs and manage local data to enable networking and efficient data storage in apps.
Use popular Android libraries like Android Jetpack and Dagger2, Koin to streamline development and enhance app functionality.

By the end of the program, you’ll be able to confidently apply your knowledge and build fully functional Android applications.

What you will gain from this program:

Write and execute Java programs – build a strong foundation in Java programming.
Master Kotlin – learn a modern language designed for seamless integration with Java.
Develop user-friendly interfaces – design and implement intuitive UIs, work with network requests, and manage local data storage.
Enhance your development with AI – gain expertise in Prompt Engineering and integrate AI tools into Android app development.
Build a real-world Android application – apply your knowledge by creating a capstone project, working on real-life tasks to showcase your skills.

Why choose this program?

Professional Mentorship. You will have group online sessions with a mentor twice a week and individual sessions once every two weeks. During these meetings, you’ll be able to ask questions, receive feedback on your assignments, and gain a deeper understanding of the learning material.
Hands-on Learning with Real Projects. You will gain practical experience by solving real projects-based tasks and engaging hands-on learning, preparing you for technical interviews and helping you build a strong skill set to excel in the fast-paced world of technology.
Simplified Learning Approach. We simplify complex things and boil sophisticated concepts into digestible, bite-sized content without sacrificing quality and learning experience.
Career Support & Job Readiness. We will provide you with all the necessary tools to prepare for your dream job, from resume creation to technical assessments and project defenses, ensuring you are ready for real-life interview situations.

What is required for training:

Intermediate (B1 or higher) English.
Meeting requirements of Tech Orda",не требуется,"Частичная занятость
Стажировка",График: свободный,2 или 3,Удалённо,15 мая 2025,https://hh.kz/vacancy/120580795,Не указано,Не указано,2025-05-15
Junior Procurement Engineer,"Сичим С.п.А Казахстан, Филиал",Атырау,Не указано,"Требования:

Bachelor’s degree in engineering business, accounting, contract management or a closely related field and have at leas two years of experience in procurement management / Supply chain in oil and gas industry.
Overall experience Minimum 2-3 years in a similar role.
Able to work to deadlines, provide data analysis, and report outcomes, work under pressure, have outstanding organizational skills, communications skills.
English (upper-intermediate), Kazakh, Russian
Good at Microsoft office
Capable to build Strong relationship with both Clients & Suppliers.
Self-tasking and an ability to work with minimal supervision.

Условия:

5/2, Karabatan Sicim Base",1–3 года,Полная занятость,График: 5/2,8 и другие варианты,На месте работодателя,15 мая 2025,https://hh.kz/vacancy/120593808,Не указано,Не указано,2025-05-15
Кредитный менеджер,ТОО AvtoMarketAlmaty,Алматы,Не указано,"ОБЯЗАТЕЛЬНО иметь опыт в банке!Если нет опыта,не беспокоить!!!!!







Обязанности:

• Консультирование клиентов автосалона по программам автокредитования, страхования и дополнительным услугам;

• Подбор наиболее выгодных условий кредитования в сотрудничестве с банками-партнерами;

• Оформление кредитных заявок и сопровождение клиентов на всех этапах сделки;

• Взаимодействие с представителями банков и страховых компаний;

• Подготовка и проверка пакета документов;

• Ведение отчетности и клиентской базы.




Требования:

• Опыт работы в сфере автокредитования, банковских или финансовых услуг от 1 года;

• Знание продуктов банков и страховых компаний (желательно);

• Умение вести переговоры, нацеленность на результат;

• Грамотная устная и письменная речь;

• Уверенный пользователь ПК, знание офисных программ;

• Ответственность, внимательность, стрессоустойчивость.




Условия:

• Работа в стабильной и развивающейся компании — автосалон «Автомаркет»;

• Официальное трудоустройство по ТК РФ;

• График работы: 5/2 или сменный (по договоренности);

• Конкурентная заработная плата: фиксированный оклад + высокий % от сделок;

• Обучение и возможность карьерного роста;

• Комфортные условия труда, современное рабочее место, дружный коллектив.",3–6 лет,Полная занятость,График: 6/1,8,На месте работодателя,15 мая 2025,https://hh.kz/vacancy/119989773,Не указано,Не указано,2025-05-15
SMM специалист / Project manager,ИП Sanber Agency,Алматы,Не указано,"Sanber Agency — маркетинговое агентство, которое помогает брендам расти через стратегию, контент, аналитику и системный подход.
Мы ищем SMM специалиста / Project менеджера, который умеет не просто вести аккаунты, а управлять проектами, влиять на визуал и видеть общую картину.

Кому подойдёт эта роль:
Если ты уже работал в SMM и хочешь перейти на уровень выше — работать с крутыми проектами, не просто создавать контент, а рулить проектом, командой и результатом — это твой шанс.

Ты будешь выстраивать стратегию, управлять командой и вести проект от идеи до реализации.

Задачи:
• Создавать стратегии и реализовывать их на практике
• Курировать контент-план, писать тексты, следить за визуалом
• Организовывать съёмки, выдавать ТЗ дизайнеру, мобилографу, видеографу
• Контролировать ход проекта и вносить предложения по улучшению
• Поддерживать коммуникацию с клиентами и командой
• Анализ эффективности: метрики, выводы, точки роста

Что важно:
• Опыт в маркетинге от 1 года
• Умение видеть проект целиком, брать на себя ответственность
• Навыки командной работы и управления процессом
• Знание базовых инструментов: Figma, Canva, Google Таблицы, таск-трекеры
• Понимание ключевых метрик, трендов и визуала

Что предлагаем:
• Возможность вырасти в стратега и управленца
• Удаленный график работы
• Работа с локальными и международными брендами
• Команда, в которой ценят инициативность, ясность и здоровую амбициозность
• Портфолио с реальными, сильными кейсами
• Обучение внутри команды — мы делимся знаниями, опытом и растем вместе",1–3 года,Полная занятость,График: 5/2,8,Удалённо,15 мая 2025,https://hh.kz/vacancy/119700154,Не указано,Не указано,2025-05-15
Руководитель антифрод направления (antifraud manager),ТОО NOMAPAY,Астана,Не указано,"Обязанности:

Разработка и реализация стратегии компании по противодействию мошенничеству.
Анализ продуктов и услуг компании, оптимизация бизнес-процессов для предупреждения фрода.
Разработка и доработка функционала/правил антифрод-систем.
Мониторинг инцидентов, поступающих в систему антифрод.
Анализ эффективности и достаточности систем предотвращения и контроля.
Анализ данных из разных источников для борьбы с внешним и внутренним мошенничеством.
Контроль уровня фрода в соответствии с регуляторными требованиями и правилами платежных систем.
Противодействие транзакционному мошенничеству, анализ транзакционной активности клиентов, установление лимитов по платежам и электронным кошелькам.
Автоматизация аналитических процессов, анализ ключевых метрик продукта и уровня фрода.
Внутренний контроль, анализ рисков внутри группы компаний.
Взаимодействие с поставщиками ПО для антифрод-систем.
Поиск аномалий при проведении транзакций, сбор и анализ событий для снижения рисков.
Участие в тестировании антифрод-систем.
Прогнозирование новых схем мошенничества, разбор инцидентов, разработка инструментов для предотвращения фрода.
Взаимодействие с правоохранительными органами и службами безопасности, обмен информацией с банками по вопросам экономической безопасности.

Требования:

Высшее экономическое, финансовое, техническое или юридическое образование.
Опыт работы на финансовом рынке (антифрод, внутренний контроль, аудит) не менее 3 лет.
Опыт анализа кейсов, расследований, знание риск-метрик и фрод-систем.
Знание регуляторных требований и правил платежных систем в области антифрода.
Знание принципов работы транзакционного и сессионного антифрода.
Опыт работы с электронными деньгами в банке/платежной организации.
Знание правил платежных систем Visa, Mastercard и взаимодействия с МПС по вопросам мошенничества.
Опыт интеграции антифрод-систем с различными источниками информации.
Владение SQL, Power BI.
Условия:

Работа в перспективной отрасли финтех;

Официальное трудоустройство и полный соцпакет согласно ТК РК;

Конкурентная зарплата;

Комфортный офис в центре города с удобной локацией и уютной атмосферой;

Корпоративные мероприятия и тимбилдинги;

Комфортная рабочая атмосфера, где мы создаем условия для продуктивности и роста.",3–6 лет,Полная занятость,График: 5/2,8,На месте работодателя или удалённо,15 мая 2025,https://hh.kz/vacancy/120126443,Не указано,Не указано,2025-05-15
Мобилограф,ИП Sanber Agency,Алматы,Не указано,"Sanber Agency — маркетинговое агентство, которое помогает брендам расти через стратегию, контент, аналитику и системный подход.
Мы ищем Мобилографа, который не просто исполнитель, а любит снимать. Хочет расти, быть частью команды и работать с контентом, которым можно гордиться.

Что мы предлагаем?
Команду, где ты не один
Ты работаешь вместе с SMM-специалистом, дизайнером, руководителем.
Мы всегда рядом, чтобы направить, помочь и подхватить идею.

Понятные задачи, а не хаос
Ты получаешь чёткое ТЗ, продуманные сценарии, подборки референсов.
Не нужно выдумывать на ходу — ты сосредоточен на съёмке и качестве.

Твоё мнение имеет вес
Видишь, как снять лучше — говори.
Мы ценим инициативу и креатив, у нас не просто “делай как сказали”.

Проекты, которыми можно гордиться
Ты снимаешь для известных брендов, международных компаний и бизнесов.
Это сильное портфолио, опыт и чувство — “я делаю круто”.

Гибкий и удобный график работы
Мы не следим, сколько ты сидишь на стуле — нам важен результат.
Гибкий график, работа на съёмках и на монтаже, без привязки к офису.

Обучение и рост в компании
Обучение внутри команды — мы делимся знаниями, опытом и растем вместе.

Чем ты будешь заниматься:
• Снимать контент для Instagram, TikTok, Shorts
• Работать в паре с SMM и креативной командой
• Участвовать в обсуждениях контента
• Монтировать — быстро, чисто, со вкусом и ритмом
• Доводить съёмки до классного результата

Что нам важно:
• Наличие телефона последних Pro-версий
• Чувство кадра, трендов, света, композиции
• Уверенное владение мобильным монтажом
• Насмотренность, вкус, креативность
• Грамотность в тексте и речи (для субтитров и сторителлинга)
• Наличие стабилизатора, света, микрофонов — будет плюсом",1–3 года,Полная занятость,График: 5/2,8,Удалённо,15 мая 2025,https://hh.kz/vacancy/119705262,Не указано,Не указано,2025-05-15
