title,company,location,salary,description,experience,employment_type,schedule,working_hours,work_format,published_date,link,skills,salary_range,published_date_dt
Бухгалтер по расчету заработной платы,ТОО МЦ ЭКО,Алматы,"от 350 000 до 400 000 ₸ за месяц, на руки","Обязанности:
Своевременное и точное исчисление заработной платы, отпускных, больничных, праздничных, пособий, прочих выплат.
Своевременно и точно исчислять налоги и обязательные платежи в бюджет, а также все виды удержаний с работников.
Своевременное и точное отражение в учетной системе всех бухгалтерских проводок по начисленной заработной плате, пособий и других начислений, налогов по счетам бухгалтерского учета в разрезе необходимой аналитики.
Подготовка, проверка и сдача налоговых деклараций на доходы работника/работодателя, отчетов в социальный фонд, в фонд занятости в соответствии с требованиями местного законодательства и представление данных по исчисленной заработной плате и налогам для своевременной оплаты.
Подготовка и выдача сотрудникам справок, расчетных листков и прочих справок и сведений по заработной плате.
Исчисление и оформление расчетов по договорам ГПХ с физическими лицами.
Подготовка, проверка и сдача статистических отчетов по заработной плате.
Отражение проводок по заработной плате в бухгалтерском учете с учетом необходимой аналитики.
Требования:
Общий стаж работы в бухгалтерии не менее 5 лет
Опыт работы в организациях с большим количеством сотрудников (больше 300)
Опыт начисления заработной платы (сменный графики, оклад, бонусы, совмещение и т.п.)
Опыт начисления заработной платы нерезидентов
Опыт сдачи налоговой и статистической отчетностей по заработной плате
Высшее экономическое образование
Условия:
Рабочий график 09.00 - 18.00ч. (Понедельник-Пятница)
Испытательный срок 3 месяца
Отпуск 24 календарных дня",3–6 лет,Полная занятость,5/2,8,На месте работодателя,18 мая 2025,https://hh.kz/vacancy/120604382,Не указано,350000-400000 ₸,2025-05-18
Супервайзер ВС,ТОО SATURN DISTRIBUTION (САТУРН ДИСТРИБЬЮШН),Алматы,"от 600 000 ₸ за месяц, на руки","Обязанности:
Организация и контроль работы команды торговых представителей.
Подбор, адаптация новых сотрудников.
Обучение, мотивация и развитие сотрудников, проведение тренингов и наставничества.

Постановка целей и задач для подчинённых.

Контроль выполнения планов продаж.

Установление и поддержание эффективных коммуникаций внутри команды.
Контроль за соблюдением стандартов работы и корпоративных процедур.
Планирование и организация маршрутов торговых представителей (если это полевой формат).
Анализ эффективности работы каждого сотрудника (KPI, планы, показатели).
Анализ результатов работы команды, подготовка отчетов и предложений по улучшению показателей.
Разработка и внедрение мероприятий по увеличению продаж.
Участие в разработке стратегий продаж и их внедрение на уровне вверенной территорий.
Проведение регулярных встреч с командой для обсуждения текущих задач и достижения целей.

Участие в переговорах с ключевыми клиентами.

Решение конфликтных ситуаций и претензий.

Мониторинг удовлетворённости клиентов.

Аналитика и отчётность

• Сбор и анализ данных по продажам.

• Подготовка отчётов для руководства (ежедневных, еженедельных, ежемесячных).

• Анализ рынка и конкурентной среды.

Взаимодействие с другими подразделениями компании для обеспечения выполнения планов

• Передача обратной связи от клиентов в маркетинг, логистику и другие подразделения.

• Согласование акций, скидок и условий сотрудничества.
Требования:
Высшее образование (предпочтительно в области бизнеса, маркетинга или управления).
Опыт работы на аналогичной позиции от 3 лет (опыт в сфере продаж будет преимуществом).
Отличные навыки управления командой и лидерства.
Умение анализировать данные и принимать обоснованные решения.
Высокие коммуникативные навыки и способность к ведению переговоров.
Знание MS Office (Excel, PowerPoint) и опыт работы с CRM-системами.
Условия:
Конкурентоспособную заработную плату + бонусы по результатам работы.
Возможности для профессионального роста и развития.
Дружный коллектив и комфортные условия труда.
Корпоративное обучение и тренинги.
График работы 6/1
Офис находится на Елебекова 10/1 (Аль-Фараби- Достык) БЦ Venus, 4 блок, 1 эт.",3–6 лет,"Полная занятость
Стажировка",6/1,8,На месте работодателя или разъездной,18 мая 2025,https://hh.kz/vacancy/120398196,Не указано,от 600000 ₸,2025-05-18
Казначей,ТОО Jana Post,Алматы,"от 500 000 до 800 000 ₸ за месяц, на руки","Обязанности:

· Ведение и контроль ежедневных операций по управлению денежными средствами

· Ведение и контроль платежного календаря, организация централизованной системы платежей

· Подготовка и проведение платёжных поручений, работа в системах клиент-банк

· Планирование и анализ движения денежных потоков (Cash Flow), участие в формировании прогнозов

· Привлечение внешнего финансирования: работа с банками и финансовыми институтами по вопросам кредитования, факторинга, лизинга, банковских гарантий

· Размещение временно свободных денежных средств: выбор инструментов, оценка доходности и рисков, взаимодействие с финансовыми партнёрами

· Управление отношениями с банками: переговоры по условиям обслуживания, оптимизация тарифов, открытие и закрытие счетов, валютный контроль

· Подготовка и представление отчетности для внутреннего и внешнего использования (управленческая, регуляторная, отчетность по обязательствам и лимитам)

· Участие в автоматизации казначейских процессов, внедрение и сопровождение специализированных ИТ-решений

· Взаимодействие с бухгалтерией, финансовым и юридическим департаментами по вопросам расчетов, контрактов и платежей

Требования:

· Высшее образование в области финансов, экономики, математики или физики

· Опыт работы в казначействе/финансах от 3 лет

· Знание принципов управления ликвидностью, платежной дисциплины, финансового анализа

· Успешный опыт привлечения финансирования и взаимодействия с банками на уровне переговоров

· Уверенные навыки работы с Excel, знание 1С, казначейских систем, работа с базами данных на уровне пользователя и клиент-банков

· Внимательность, ответственность, способность работать с большим объемом информации

Условия:

· Стабильная работа в развивающейся компании

· Конкурентная заработная плата

· Возможность карьерного роста до уровня руководителя направления

· Участие в интересных проектах по финансовому развитию компании

· Комфортный офис, корпоративные мероприятия, обучение

*В Сопроводительном письме напишите кратко про свои навыки",3–6 лет,Полная занятость,5/2,8,На месте работодателя,18 мая 2025,https://hh.kz/vacancy/120376305,Не указано,500000-800000 ₸,2025-05-18
SMM-менеджер,ТОО WOOGGY,Алматы,"от 400 000 ₸ за месяц, на руки","ВАЖНО. Работа в офисе. Удалённо и гибкий график не рассматриваем. Откликаясь на вакансию, вы соглашаетесь с данным условием.

Мы занимаемся YouTube проектами, съемками сериалов и телешоу.

Если ты ответственный, креативный и энергичный, то эта вакансия для тебя!

Чем предстоит заниматься:

Подготовка и публикация контента для социальных сетей (Instagram, Tik Tok, Telegram);
Написание качественных постов;
Разработка и реализация контент-плана;
Аналитика эффективности публикаций в социальных сетях, предложения по изменениям в форматах публикаций на основе данных аналитики;
Идея, съемка, монтаж, оформление, публикация Reels;
Взаимодействие с подрядчиками, партнёрами и платформой YouTube;

Какой опыт и навыки нам важны:

Опыт работы от 2х лет в SMM;
Развитый навык копирайтинга;
Развитый навык разработки сценария, сьемки и монтажа Reels;
Наличие портфолио.

Что мы предлагаем:

Работу в компании, где вы можете реализовать все свои креативные идеи;
Лояльное руководство и крутая атмосфера в офисе;
Заинтересованность компании в долгосрочных трудовых отношениях;
Культуру компании с ориентацией на сотрудничество и партнерские отношения
График 5/2 с 10.00-19.00 в офисе (НЕ гибкий и НЕ удалённый график)

При отклике в сопроводительном письме укажите пожалуйста ссылки на Ваше портфолио, на аккаунты в социальных сетях, которые вели и уточните, какую именно делали работу: посты, сторис, рилс, текст.",1–3 года,Полная занятость,5/2,8,На месте работодателя,18 мая 2025,https://hh.kz/vacancy/120411746,Не указано,от 400000 ₸,2025-05-18
Младший тестировщик,ТОО Ломбард Деньги населению,Костанай,Не указано,"На финтех проекты требуется специалист на позицию тестировщика. Проекты работают на территории трех стран: Казахстан, Россия, Филиппины. В рамках проектов мы создаем высоконагруженные, асинхронные, отказоустойчивые, безопасные финансовые сервисы. И что важно - постоянно добавляем новый функционал. Проекты, в основном, представляют собой backend и api для обслуживания наших клиентов через web, мобильные приложения и открытые api. В команде 30 человек, среди которых разработчики, тестировщики, системные аналитики, системные администраторы и техподдержка.

Обязанности:

Ручное тестирование

Составление отчетности по результатам тестирования

Выявление и описание багов

Описание тест-кейсов

Оформление и ведение документации

обучаться и повышать свой уровень;

читать техническую документацию;

изучать программные продукты, которые производит компания;

работать в команде тестировщиков и выполнять простые задачи по поиску ошибок;

учиться писать тест-кейсы, отрабатывать их и составлять репорты;

присутствовать на рабочих митингах, отчитываться о своей работе, вносить предложения.

Требования:

Понимать принципы тестирования

Понимать как устроен процесс разработки программного обеспечения

Уметь работать с базами данных с помощью SQL

Понимать как backend взаимодействует с мобильным приложением с помощью API

Умение отправлять запросы, и знать что такое GET, POST, PUT, DELETE, PATCH

Будет плюсом:

Умение работать с: Postman, cURL, и Swagger

Знание BPMN

Опыт разработки на любом ЯП, любых пет проектов

Умение работать с Linux системами

Условия:

Официальное оформление

Действующие высоконагруженные проекты;

Команда профессионалов, с которыми будут по плечу любые задачи;

Возможность удаленной работы;

Поддержка в развитии и обучении;",1–3 года,Полная занятость,5/2,8,Удалённо,18 мая 2025,https://hh.kz/vacancy/118594005,Не указано,Не указано,2025-05-18
Frontend-разработчик,Finstar Financial Group,Алматы,Не указано,"Что нужно делать:

- Разработка новых пользовательских интерфейсов с использованием React.js;

- Взаимодействие с другими командами (UX, back-end, data science, PO и др.);

- Создание переиспользуемых компонентов и библиотек для дальнейшего использования;

- Перевод дизайнов и макетов в высококачественный код;

- Оптимизация компонентов для обеспечения максимальной производительности на различных устройствах и браузерах;

- Участие во всех этапах разработки в рамках agile-проектов: проектирование, разработка интерфейсов и приложений, тестирование;

- Выполнение других задач, связанных с бизнесом.

Что ожидаем:

- Опыт работы Frontend разработчиком от 3ех лет;

- Глубокие знания React.js и его экосистемы (Redux, server-side rendering, Node.js) или любого другого современного JavaScript;

- Опыт работы с Redux, Webpack, Yarn;

- Навыки работы с headless CMS;

- Опыт взаимодействия с REST API;

- Умение создавать переиспользуемые компоненты и библиотеки;

- Знание системы контроля версий GIT;

- Английский язык от B2.

Будет плюсом:

- Опыт работы с Webflow;

- Опыт разработки на React Native;

- Опыт тестирования с использованием Jest, Cypress.io или других фреймворков;

- Знание State Machines и Statecharts;

- Опыт работы с TypeScript.

Мы предлагаем:

- Удаленный формат работы;

- Стабильную заработную плату в евро;

- Интересные и сложные проекты, в которых вы сможете влиять на результат;

- Профессиональная команда коллег и возможности роста.",3–6 лет,Полная занятость,5/2,8,Удалённо,18 мая 2025,https://hh.kz/vacancy/120113378,Не указано,Не указано,2025-05-18
Главный Бухгалтер на производство (Оффлайн),ТОО ТОРГОВЫЙ ДОМ ТЭМ-КАЗАХСТАН,Астана,"от 800 до 1 000 000 ₸ за месяц, на руки","Мы являемся ведущим производителем металлопроката в Казахстане, охватывающим крупнейшие города страны. В связи с расширением финансового отдела, мы ищем квалифицированного и ответственного ""Бухгалтера в одном лице"", готового обеспечить полное ведение бухгалтерского учета ЗАВОДА (который в ближ.квартал будет введен в эксплуатацию).

Обязанности:
Организация и ведение бухгалтерского и налогового учета с ""нуля"".
Учет капитального строительства и формирования первоначальной стоимости ОС;
Учет предпроизводственных расходов;
Разработка учетной политики и организация документооборота;
Взаимодействие с подрядчиками и поставщиками;
Подготовка и своевременная сдача отчетности в контролирующие органы;
Налоговое планирование и оптимизация;
Контроль за соблюдением фин. дисциплины;
Участие в инвентаризации имущества.
Требования:
Высшее образование (Бухгалтерия/Экономика);
Опыт работы Бухгалтером в единственном лице на производстве от 3 лет;
Опыт работы с капитальным строительством и вводом ОС в эксплуатацию.
Уверенное владение 1С: Бухгалтерия, Excel;
Знание всех участков бухгалтерии, налогового законодательства РК;
Ответственность, многозадачность, организованность;
Умение самостоятельно принимать решения.
Опыт прохождения налоговых проверок.
Условия:
Официальное трудоустройство;
График работы: 5/2 с 08:00 до 17:00;
Своевременная оплата труда (без задержек);
Периодические недлительные командировки в г.Сарань (местонахождение завода);
Развитая корпоративная культура;
Дружный коллектив, любящий свое дело

Если Вы готовы взять на себя одну из ключевых ролей в управлении финансовыми процессами компании, оставляйте свой отклик. Будем рады обсудить возможности сотрудничества!",3–6 лет,Полная занятость,5/2,8,Не указано,18 мая 2025,https://hh.kz/vacancy/120417573,Не указано,800-1000000 ₸,2025-05-18
"Ассистент коммерческого отдела, г. Алматы",Парфюмерно-косметический супермаркет Золотое Яблоко,Алматы,Не указано,"«Золотое Яблоко» — самая быстрорастущая сеть России в категории non-food.

В команду мы ищем Ассистента коммерческого отдела, который будет поддерживать наше стремление к созданию исключительного
покупательского опыта.

Ты будешь работать в отделе аналитики: команда помогает заводить актуальный ассортимент в сеть, анализирует ценообразование и продажи, рассчитывает, сколько нам нужно закупить товара.

Что нужно делать:

Осуществлять административную поддержку направления
Обрабатывать входящую и исходящую документацию
Работать в 1С: Документооборот
Взаимодействовать со смежными отделами
Выполнять отдельные служебные поручения своего непосредственного руководителя: сбор информации, аналитика, оформление полученной информации, работа с Excel

Что ждём от кандидата:

Знание и уверенное использование Excel: ВПР, ГПР, сводные таблицы
Умение работать с большим объемом данных
Навык работы в 1C: Документооборот
Инициативность, проактивность
Высокий уровень ответственности и внимательности

Почему с нами хорошо:

Персональное предложение по заработной плате и официальное трудоустройство, мы за прозрачность и честность
График работы: 5/2, офис
ДМС, потому что мы заботимся о твоем здоровье
Мы предлагаем помощь карьерного консультанта для выбора индивидуального направления развития
Открытый диалог с топ-менеджерами и дружный коллектив — база нашей культуры
Корпоративная скидка в «‎Золотое Яблоко», а еще бонусы и акции от партнеров
Никаких ограничений по дресс-коду и внешнему виду. Мы уважаем твою индивидуальность!

Делай то, что любишь вместе с нами!",1–3 года,Полная занятость,5/2,9,На месте работодателя,18 мая 2025,https://hh.kz/vacancy/120386683,Не указано,Не указано,2025-05-18
Кредитный менеджер,ТОО AvtoMarketAlmaty,Алматы,Не указано,"ОБЯЗАТЕЛЬНО иметь опыт в банке!Если нет опыта,не беспокоить!!!!!







Обязанности:

• Консультирование клиентов автосалона по программам автокредитования, страхования и дополнительным услугам;

• Подбор наиболее выгодных условий кредитования в сотрудничестве с банками-партнерами;

• Оформление кредитных заявок и сопровождение клиентов на всех этапах сделки;

• Взаимодействие с представителями банков и страховых компаний;

• Подготовка и проверка пакета документов;

• Ведение отчетности и клиентской базы.




Требования:

• Опыт работы в сфере автокредитования, банковских или финансовых услуг от 1 года;

• Знание продуктов банков и страховых компаний (желательно);

• Умение вести переговоры, нацеленность на результат;

• Грамотная устная и письменная речь;

• Уверенный пользователь ПК, знание офисных программ;

• Ответственность, внимательность, стрессоустойчивость.




Условия:

• Работа в стабильной и развивающейся компании — автосалон «Автомаркет»;

• Официальное трудоустройство по ТК РФ;

• График работы: 5/2 или сменный (по договоренности);

• Конкурентная заработная плата: фиксированный оклад + высокий % от сделок;

• Обучение и возможность карьерного роста;

• Комфортные условия труда, современное рабочее место, дружный коллектив.",3–6 лет,Полная занятость,6/1,8,На месте работодателя,18 мая 2025,https://hh.kz/vacancy/119989773,Не указано,Не указано,2025-05-18
Экономист,ТОО Құрылысшы LTD,Астана,"от 400 000 ₸ за месяц, на руки","Ведущая строительная компания Астаны приглашает в команду опытного экономиста, готового развивать управленческую отчётность, анализировать эффективность и влиять на ключевые бизнес-решения.

Обязанности:

Внедрение и ведение системы управленческой отчетности
Расчет финансовых показателей, построение финансовых моделей
Экономический анализ деятельности компании на основе отчетов и данных 1С
Анализ эффективности подразделений, расчёт затрат и рентабельности
План-факт анализ, прогнозирование, формирование бюджетов
Автоматизация отчетности и расчетов
Анализ себестоимости, доходов и расходов по направлениям
Контроль исполнения бюджетов и выявление отклонений
Разработка предложений по повышению эффективности расходов
Мониторинг корректности учёта в 1С по статьям доходов и затрат

Требования:

Высшее экономическое образование
Опыт работы от 3 лет по направлениям: управленческий учёт, финансовый анализ, бюджетирование
Отличное знание Excel (формулы, сводные таблицы), 1С 8.3
Знание законодательства РК в сфере бухгалтерии, налогов, соц. и медстрахования
Умение составлять бюджет доходов и расходов, проводить контроль и корректировки
Опыт построения моделей и расчётов в Excel и PowerPoint
Приветствуется опыт в сфере ЖКХ/эксплуатации МЖК

Условия:

Официальное трудоустройство в стабильную компанию
График: 5/2, с 09:00 до 18:00
Современный офис, корпоративные мероприятия, программы лояльности
Обучение, развитие, участие в проектах и автоматизации",3–6 лет,Полная занятость,5/2,8,Не указано,17 мая 2025,https://hh.kz/vacancy/119885203,Не указано,от 400000 ₸,2025-05-17
